id,difficulty,message,expected,predicted,correct,sampled_token,logprob_a,logprob_b,p_a,p_b,confidence,margin,latency_sec,prompt_tokens,completion_tokens,error,logprob_margin
case_017,medium,Можно вместо графика вывести таблицу?,A,A,True,A,-2.3841855067985307e-07,-16.90625,0.9999999545316706,4.5468329556539626e-08,0.9999999545316706,0.999999909063341,0.017665303999820026,249,1,,16.90624976158145
case_018,medium,А как подключить новый MCP-инструмент?,B,B,True,B,-20.625,-1.1920928244535389e-07,1.1032561626447475e-09,0.9999999988967438,0.9999999988967438,0.9999999977934877,0.017113040999902296,251,1,,20.624999880790718
case_019,medium,А если руководитель сейчас отсутствует?,A,A,True,A,-5.960462772236497e-07,-21.21875,0.9999999993907238,6.092762098043513e-10,0.9999999993907238,0.9999999987814476,0.012996953999390826,257,1,,21.218749403953723
case_020,medium,А как назначить роль аналитика Иванову?,B,B,True,B,-2.9891419410705566,-0.05164184793829918,0.05033062814599172,0.9496693718540083,0.9496693718540083,0.8993387437080166,0.017089848000978236,268,1,,2.9375000931322575
case_021,medium,Сформируй новый отчёт по сотрудникам.,B,B,True,B,-10.250035285949707,-3.564294092939235e-05,3.5356263363171466e-05,0.9999646437366367,0.9999646437366367,0.9999292874732736,0.016895400998691912,265,1,,10.249999643008778
case_022,medium,А где изменить номер телефона в профиле?,B,B,True,B,-9.187602043151855,-0.00010251473577227443,0.00010229990296385715,0.9998977000970362,0.9998977000970362,0.9997954001940723,0.017477539000537945,259,1,,9.187499528416083
case_023,hard,"Да. А если попробовать через VPN, это может помочь?",A,A,True,A,-8.344646857949556e-07,-18.625,0.9999999918479726,8.152027450590859e-09,0.9999999918479726,0.9999999836959451,0.01736316400092619,262,1,,18.624999165535314
case_024,hard,"Спасибо, вошёл. А уведомления как отключить?",B,A,False,A,-7.152555099310121e-07,-14.875000953674316,0.9999996533674615,3.466325384682834e-07,0.9999996533674615,0.9999993067349231,0.017281458998695598,264,1,,14.875000238418806
case_025,hard,После перехода мои сохранённые отчёты останутся?,A,A,True,A,-2.3841855067985307e-07,-16.6875,0.9999999434137502,5.6586249770527566e-08,0.9999999434137502,0.9999998868275004,0.01696221700149181,262,1,,16.68749976158145
case_026,hard,"Тогда Pro. И ещё скажите, как удалить аккаунт.",B,B,True,B,-10.343782424926758,-3.242440288886428e-05,3.219233448017378e-05,0.9999678076655197,0.9999678076655197,0.9999356153310396,0.017141935999461566,259,1,,10.343750000523869
case_027,hard,Иногда ещё появляется 500. Это может быть связано?,A,A,True,A,-7.152555099310121e-07,-14.531250953674316,0.9999995111698392,4.888301607898407e-07,0.9999995111698392,0.9999990223396784,0.012797839000995737,257,1,,14.531250238418806
case_028,hard,"Не помогает. Кстати, где посмотреть историю платежей?",B,B,True,B,-12.093755722045898,-5.960446742392378e-06,5.5943390471225325e-06,0.999994405660953,0.999994405660953,0.9999888113219059,0.013315786998646217,258,1,,12.093749761599156
case_029,hard,Убери Санкт-Петербург и сравни Москву с Казанью за тот же период.,A,B,False,B,-6.751170635223389,-0.0011704268399626017,0.0011695100216340016,0.998830489978366,0.998830489978366,0.997660979956732,0.013592838999102241,274,1,,6.750000208383426
case_030,hard,Сохрани результат. И создай встречу с отделом продаж на завтра.,B,B,True,B,-24.46875,-7.152555099310121e-07,2.3624205215936548e-11,0.9999999999763758,0.9999999999763758,0.9999999999527516,0.013652711999384337,274,1,,24.46874928474449
