model,served_models_json,base_url,prompt_version,system_prompt,temperature,seed,thinking_enabled,structured_output,route_names_json,dataset,dataset_sha256,routes,routes_sha256,case_count,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,structured_response,prompt_tokens,completion_tokens,error,request_latency_sec
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_018,medium,А как подключить новый MCP-инструмент?,NEW,NEW,True,"{""route"": ""NEW""}",314,10,,0.15719378399808193
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_019,medium,А если руководитель сейчас отсутствует?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",320,11,,0.1641121309949085
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_020,medium,А как назначить роль аналитика Иванову?,NEW,NEW,True,"{""route"": ""NEW""}",331,10,,0.11024763900059042
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_021,medium,Сформируй новый отчёт по сотрудникам.,NEW,CONTINUE,False,"{""route"": ""CONTINUE""}",328,11,,0.16676884600019548
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_022,medium,А где изменить номер телефона в профиле?,NEW,CONTINUE,False,"{""route"": ""CONTINUE""}",322,11,,0.16567712600226514
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_023,hard,"Да. А если попробовать через VPN, это может помочь?",CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",325,11,,0.1676845339970896
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_024,hard,"Спасибо, вошёл. А уведомления как отключить?",NEW,CONTINUE,False,"{""route"": ""CONTINUE""}",327,11,,0.1199815200016019
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_025,hard,После перехода мои сохранённые отчёты останутся?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",325,12,,0.17707343499932904
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_026,hard,"Тогда Pro. И ещё скажите, как удалить аккаунт.",NEW,NEW,True,"{""route"": ""NEW""}",322,10,,0.15984343500167597
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_027,hard,Иногда ещё появляется 500. Это может быть связано?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",320,11,,0.16416833800030872
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_028,hard,"Не помогает. Кстати, где посмотреть историю платежей?",NEW,CONTINUE,False,"{""route"": ""CONTINUE""}",321,11,,0.16830837199813686
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_029,hard,Убери Санкт-Петербург и сравни Москву с Казанью за тот же период.,CONTINUE,NEW,False,"{""route"": ""NEW""}",337,10,,0.10770262499863748
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_030,hard,Сохрани результат. И создай встречу с отделом продаж на завтра.,NEW,NEW,True,"{""route"": ""NEW""}",337,10,,0.15763693999906536
